,10001_indexed,10002_indexed,10004_indexed,10005_indexed,10006_indexed,10007_indexed,10009_indexed,10014_indexed,10018_indexed,10021_indexed,10023_indexed,10033_indexed,10034_indexed,10038_indexed,10065_indexed,10069_indexed,10075_indexed,10128_indexed,10280_indexed
7/1/06,164.359352,121.3498623,110.7674685,104.9881235,121.0126582,120,120.2531646,130.4609218,146.7787115,120.8609272,120.9486166,,,154.3089431,129.0288154,115.0485437,119.0732759,122.425952,116.4325843
8/1/06,164.5066274,122.8650138,112.6002291,106.4133017,121.3924051,120.2312139,120.5063291,129.759519,148.4593838,120.9713024,120.5533597,,,157.0731707,129.6691569,114.1747573,119.1810345,122.5669958,117.8370787
9/1/06,165.2430044,124.6556474,114.4329897,108.6698337,121.5189873,122.5433526,121.1392405,128.757515,148.1792717,121.192053,120.6521739,,,158.8617886,130.0960512,113.8834951,120.0431034,123.8363893,118.5393258
10/1/06,166.5684831,126.0330579,115.4639175,110.807601,123.2911392,125.433526,122.5316456,127.8557114,148.5994398,122.0750552,121.4426877,,,160.3252033,131.4834578,114.0776699,122.1982759,125.3878702,119.241573
11/1/06,168.3357879,128.0991736,116.0366552,112.4703088,125.0632911,128.2080925,124.9367089,127.1543086,152.2408964,123.2891832,122.826087,,,162.1138211,132.5506937,114.8543689,123.9224138,127.2214386,120.505618
12/1/06,168.3357879,129.8898072,114.6620848,112.5890736,125.8227848,129.132948,126.3291139,127.6553106,155.8823529,123.7306843,125.0988142,,,162.9268293,132.6574173,115.3398058,124.137931,128.9139633,120.7865169
1/1/07,166.8630339,130.4407713,112.2565865,111.6389549,126.4556962,128.3236994,126.835443,128.256513,156.442577,124.5033113,126.6798419,,,161.4634146,132.6574173,115.3398058,124.137931,129.7602257,120.2247191
2/1/07,165.3902798,129.7520661,111.2256586,110.807601,127.5949367,127.0520231,127.5949367,128.0561122,158.4033613,125.1655629,125.8893281,,,158.2113821,131.8036286,115.4368932,124.3534483,130.0423131,120.505618
3/1/07,165.2430044,129.7520661,111.9129439,110.5700713,128.1012658,127.6300578,129.2405063,127.9559118,160.0840336,124.9448124,124.5059289,,,155.7723577,130.8431163,116.0194175,124.6767241,130.606488,122.1910112
4/1/07,165.3902798,130.1652893,113.1729668,110.4513064,129.4936709,130.2890173,130.2531646,128.4569138,161.6246499,124.2825607,124.0118577,,,153.495935,130.7363927,116.3106796,124.7844828,130.7475317,123.1741573
5/1/07,166.1266568,130.8539945,115.0057274,111.0451306,131.8987342,133.0635838,131.2658228,128.757515,164.7058824,124.8344371,124.4071146,,,152.3577236,131.696905,116.407767,125.1077586,130.8885755,123.8764045
6/1/07,167.5994109,131.9559229,117.1821306,112.3515439,132.7848101,134.9132948,132.4050633,128.757515,167.7871148,126.1589404,125,,,152.195122,132.0170758,116.9902913,125.4310345,131.3117066,125.5617978
7/1/07,170.1030928,133.8842975,119.1294387,113.8954869,132.278481,135.8381503,133.5443038,129.258517,168.2072829,127.4834437,125.7905138,,,152.195122,131.8036286,118.5436893,126.0775862,132.0169252,127.8089888
8/1/07,171.8703976,135.1239669,120.5040092,114.8456057,132.0253165,135.7225434,134.3037975,130.260521,168.487395,128.2560706,126.6798419,,,152.3577236,131.8036286,120.2912621,126.1853448,132.7221439,129.0730337
9/1/07,172.017673,134.9862259,121.6494845,115.4394299,132.4050633,135.0289017,134.8101266,131.3627255,170.1680672,127.8145695,126.8774704,,,152.5203252,131.9103522,121.0679612,125.6465517,133.0042313,129.3539326
10/1/07,172.1649485,134.4352617,122.9095074,116.0332542,133.0379747,135.3757225,135.8227848,132.4649299,171.8487395,127.4834437,127.0750988,,,152.6829268,132.4439701,121.6504854,125,133.0042313,129.3539326
11/1/07,173.3431517,134.8484848,123.9404353,116.6270784,134.0506329,136.300578,136.7088608,133.9679359,171.8487395,128.6975717,128.8537549,,,153.3333333,133.6179296,123.3009709,126.5086207,133.4273625,130.4775281
12/1/07,175.4050074,135.1239669,123.9404353,117.4584323,135.1898734,137.3410405,137.8481013,136.3727455,170.3081232,131.4569536,131.5217391,,,153.6585366,135.4322305,124.9514563,128.7715517,134.9788434,131.4606742
1/1/08,177.6141384,135.9504132,123.8258877,119.0023753,136.0759494,138.3815029,138.8607595,139.1783567,169.047619,134.1059603,133.1027668,,,154.1463415,137.3532551,125.0485437,130.0646552,137.235543,131.741573
2/1/08,179.9705449,137.3278237,124.6277205,120.9026128,136.835443,139.5375723,140.1265823,141.2825651,168.907563,135.4304636,133.7944664,,,156.097561,137.7801494,124.2718447,130.6034483,138.6459803,132.5842697
3/1/08,181.2960236,139.1184573,125.6586483,123.1591449,138.2278481,139.8843931,141.0126582,142.5851703,170.1680672,136.0927152,134.6837945,,,159.5121951,137.9935966,124.2718447,131.5732759,139.0691114,134.9719101
4/1/08,181.8851252,140.4958678,126.5750286,125.2969121,139.6202532,139.8843931,142.0253165,143.8877756,171.5686275,137.0860927,135.770751,,,162.7642276,139.167556,125.0485437,131.7887931,140.0564175,137.2191011
5/1/08,181.7378498,141.5977961,127.8350515,126.7220903,140.3797468,140.6936416,143.2911392,144.7895792,172.1288515,137.3068433,136.1660079,,,164.7154472,139.9146211,125.8252427,131.7887931,141.0437236,138.7640449
6/1/08,181.1487482,141.8732782,128.6368843,127.0783848,140.7594937,142.0809249,144.1772152,145.2905812,170.4481793,136.2030905,135.4743083,,,165.203252,140.3415155,125.4368932,131.25,140.7616361,139.4662921
7/1/08,180.5596465,140.7713499,128.2932417,126.6033254,141.3924051,143.3526012,143.6708861,145.1903808,169.047619,135.3200883,135.0790514,,,165.8536585,140.5549626,124.368932,130.9267241,140.1974612,140.4494382
8/1/08,180.4123711,140.4958678,127.6059565,125.7719715,142.4050633,144.5086705,142.7848101,144.6893788,170.0280112,135.98234,134.6837945,,,166.0162602,141.4087513,124.0776699,132.0043103,140.6205924,141.1516854
9/1/08,180.5596465,141.184573,126.4604811,124.9406176,143.2911392,144.8554913,141.7721519,143.987976,170.0280112,136.7549669,134.0909091,,,165.203252,141.4087513,124.1747573,134.0517241,141.0437236,140.7303371
10/1/08,180.4123711,141.4600551,125.4295533,124.584323,142.9113924,144.7398844,140.5063291,143.0861723,168.2072829,136.4238411,132.8063241,,,163.7398374,140.4482391,124.1747573,134.375,140.4795487,139.3258427
11/1/08,179.5287187,140.3581267,124.8568156,125.2969121,141.3924051,144.8554913,138.9873418,141.3827655,165.8263305,135.3200883,130.6324111,,,162.7642276,139.3810032,123.4951456,133.9439655,139.0691114,137.7808989
12/1/08,177.9086892,138.7052342,125.6586483,127.0783848,140.8860759,143.8150289,138.2278481,140.2805611,166.9467787,134.3267108,129.1501976,,,161.300813,140.2347919,123.2038835,133.6206897,137.5176305,135.9550562
1/1/09,176.4359352,137.3278237,127.0332188,128.2660333,141.1392405,141.5028902,137.9746835,139.7795591,170.1680672,133.1125828,129.4466403,,,160.3252033,140.5549626,123.4951456,131.6810345,136.248237,133.988764
2/1/09,175.5522828,136.7768595,128.6368843,128.3847981,140.8860759,139.3063584,137.5949367,138.6773547,171.4285714,130.9050773,128.9525692,,,159.8373984,139.8078975,123.1067961,127.9094828,134.1325811,132.0224719
3/1/09,174.2268041,136.2258953,129.4387171,127.1971496,139.3670886,137.6878613,135.9493671,135.8717435,168.2072829,127.593819,126.8774704,,,158.699187,137.0330843,121.0679612,124.6767241,130.8885755,130.1966292
