,10001_indexed,10002_indexed,10004_indexed,10005_indexed,10006_indexed,10007_indexed,10009_indexed,10014_indexed,10018_indexed,10021_indexed,10023_indexed,10033_indexed,10034_indexed,10038_indexed,10065_indexed,10069_indexed,10075_indexed,10128_indexed,10280_indexed
9/1/14,226.0677467,157.7134986,152.5773196,133.3729216,146.0759494,188.4393064,142.7848101,167.0340681,213.4453782,137.7483444,139.1304348,105.6034483,103.8383838,186.0162602,157.0971185,149.5145631,134.2672414,145.5571227,141.994382
10/1/14,227.0986745,159.3663912,152.1191294,134.2042755,147.4683544,189.8265896,142.4050633,168.5370741,218.907563,138.8520971,138.8339921,106.4655172,103.4343434,187.804878,157.4172892,151.1650485,134.0517241,146.1212976,143.258427
11/1/14,228.5714286,160.6060606,153.2646048,135.5106888,148.9873418,190.7514451,142.4050633,168.9378758,224.929972,139.8454746,138.5375494,107.7586207,102.4242424,189.4308943,157.0971185,153.2038835,134.375,146.9675599,145.3651685
12/1/14,228.718704,160.8815427,153.4936999,136.3420428,149.6202532,190.2890173,143.7974684,168.6372745,227.3109244,140.7284768,138.4387352,107.5431034,99.39393939,189.9186992,156.3500534,154.2718447,134.5905172,146.9675599,146.6292135
1/1/15,228.4241532,160.7438017,152.9209622,136.935867,150.6329114,189.3641618,145.8227848,169.3386774,229.4117647,140.9492274,139.229249,107.112069,94.94949495,190.0813008,156.4567769,154.6601942,134.5905172,146.1212976,146.6292135
2/1/15,228.4241532,160.8815427,152.6918671,137.4109264,151.8987342,189.3641618,148.1012658,170.6412826,230.6722689,140.397351,140.6126482,107.9741379,92.12121212,190.7317073,156.4567769,155.7281553,136.0991379,145.2750353,146.2078652
3/1/15,228.718704,161.2947658,152.6918671,137.8859857,153.2911392,190.0578035,149.4936709,170.8416834,231.512605,139.2935982,141.9960474,109.2672414,93.53535354,191.0569106,156.2433298,157.3786408,138.0387931,145.2750353,146.3483146
4/1/15,229.8969072,162.6721763,152.9209622,138.47981,154.9367089,190.5202312,150.8860759,170.9418838,231.372549,138.9624724,143.083004,110.3448276,97.97979798,191.3821138,156.0298826,158.3495146,138.6853448,146.2623413,147.752809
5/1/15,233.1369661,165.4269972,154.1809851,139.6674584,157.8481013,191.5606936,153.164557,171.9438878,231.372549,139.7350993,143.8735178,112.9310345,102.8282828,194.1463415,156.6702241,159.223301,139.1163793,148.3779972,150.4213483
6/1/15,237.5552283,168.1818182,156.0137457,140.6175772,160.8860759,193.8728324,155.8227848,173.5470942,233.4733894,140.8388521,145.0592885,115.7327586,105.6565657,198.5365854,157.73746,159.9029126,140.5172414,150.2115656,153.511236
7/1/15,241.9734904,170.2479339,158.0756014,141.9239905,163.2911392,196.6473988,158.2278481,174.3486974,240.6162465,142.0529801,146.6403162,117.4568966,108.2828283,201.9512195,159.1248666,160.6796117,142.4568966,152.045134,156.1797753
8/1/15,244.9189985,171.4876033,160.8247423,143.9429929,165.3164557,199.3063584,160,174.248497,248.3193277,143.8189845,148.5177866,118.9655172,109.4949495,205.5284553,160.7257204,161.7475728,144.2887931,154.3018336,157.5842697
9/1/15,246.3917526,172.7272727,163.3447881,146.1995249,168.1012658,202.3121387,161.0126582,175.250501,254.9019608,145.6953642,150.8893281,122.1982759,108.4848485,208.6178862,162.3265742,162.4271845,145.5818966,156.5585331,158.005618
10/1/15,246.539028,173.6914601,164.3757159,148.456057,168.7341772,204.7398844,161.7721519,177.254509,260.0840336,146.799117,152.6679842,124.7844828,107.0707071,208.7804878,163.7139808,162.3300971,146.5517241,158.2510578,158.1460674
11/1/15,246.2444772,175.0688705,163.9175258,150.1187648,165.5696203,205.7803468,163.0379747,178.6573146,262.0448179,147.6821192,153.5573123,126.0775862,107.6767677,206.9918699,165.5282818,162.5242718,147.4137931,158.9562764,158.5674157
12/1/15,245.802651,176.3085399,163.2302405,151.4251781,162.7848101,206.0115607,164.556962,179.3587174,258.6834734,148.5651214,154.6442688,127.3706897,110.7070707,206.8292683,168.6232657,163.2038835,147.6293103,158.9562764,158.7078652
1/1/16,246.3917526,177.8236915,163.2302405,153.3254157,162.278481,206.5895954,166.9620253,180.6613226,253.6414566,150,156.916996,129.0948276,114.1414141,208.1300813,171.7182497,164.5631068,148.9224138,159.6614951,159.8314607
2/1/16,248.3063328,179.8898072,164.4902635,155.4631829,163.5443038,208.2080925,169.3670886,183.4669339,251.6806723,151.986755,159.2885375,130.6034483,118.5858586,209.5934959,174.5997866,166.3106796,151.0775862,161.9181946,162.0786517
3/1/16,249.7790869,181.4049587,165.6357388,156.888361,164.556962,209.5953757,171.2658228,185.4709419,251.8207283,153.0905077,159.7826087,132.112069,122.6262626,210.7317073,176.3073639,167.6699029,151.8318966,164.4569817,162.9213483
4/1/16,249.6318115,182.0936639,166.5521191,157.6009501,163.5443038,210.5202312,172.4050633,185.0701403,251.2605042,152.6490066,158.6956522,133.1896552,126.4646465,211.5447154,176.3073639,168.0582524,150.5387931,165.4442877,161.9382022
5/1/16,249.7790869,183.4710744,166.8957617,158.0760095,162.1518987,211.9075145,173.7974684,183.8677355,250.4201681,151.986755,158.201581,134.4827586,128.4848485,212.3577236,175.2401281,168.0582524,147.9525862,166.0084626,161.0955056
6/1/16,250.8100147,185.6749311,167.3539519,159.1448931,161.8987342,213.6416185,174.9367089,184.4689379,249.5798319,152.7593819,159.1897233,136.8534483,129.2929293,214.3089431,175.4535752,168.3495146,146.1206897,167.7009873,162.3595506
7/1/16,251.8409426,187.6033058,168.9576174,160.5700713,163.4177215,215.0289017,176.3291139,186.0721443,249.859944,154.5253863,160.770751,139.8706897,130.1010101,216.5853659,177.1611526,168.8349515,146.4439655,170.5218618,165.1685393
8/1/16,253.0191458,189.8071625,171.2485682,162.2327791,165.5696203,216.300578,178.1012658,188.1763527,251.4005602,156.5121413,162.3517787,143.9655172,133.5353535,218.2113821,179.2956243,169.7087379,148.4913793,173.6248237,167.9775281
9/1/16,253.1664212,190.4958678,171.9358534,162.8266033,165.8227848,216.6473988,178.9873418,189.0781563,248.0392157,157.1743929,162.4505929,146.9827586,136.1616162,217.8861789,179.4023479,170,149.5689655,174.8942172,168.6797753
10/1/16,252.724595,189.2561983,171.1340206,161.8764846,163.7974684,216.1849711,179.2405063,187.9759519,240.7563025,156.5121413,161.3636364,148.2758621,135.5555556,216.2601626,176.9477054,170,148.9224138,174.1889986,167.4157303
11/1/16,253.3136966,188.9807163,170.9049255,160.6888361,162.9113924,216.0693642,180.2531646,186.5731463,238.0952381,155.9602649,160.4743083,147.8448276,135.959596,216.4227642,173.959445,169.6116505,148.2758621,173.6248237,166.4325843
12/1/16,252.724595,189.2561983,171.2485682,160.3325416,162.4050633,215.3757225,181.0126582,186.9739479,239.0756303,155.8498896,160.6719368,147.6293103,137.3737374,216.4227642,172.8922092,169.1262136,148.8146552,173.7658674,166.4325843
1/1/17,251.1045655,188.8429752,170.9049255,159.6199525,161.6455696,213.6416185,180.6329114,187.6753507,237.254902,155.2980132,160.1778656,149.3534483,137.3737374,215.2845528,173.1056564,167.8640777,149.4612069,174.0479549,166.1516854
2/1/17,249.9263623,189.2561983,169.4158076,159.263658,161.6455696,211.7919075,180.3797468,188.0761523,234.0336134,154.5253863,158.4980237,151.2931034,136.969697,214.6341463,172.0384205,166.5048544,149.2456897,174.471086,166.5730337
3/1/17,249.3372607,191.4600551,167.812142,159.3824228,162.5316456,211.3294798,181.5189873,188.0761523,233.4733894,154.7461369,157.312253,151.2931034,136.5656566,215.2845528,169.583778,165.7281553,149.0301724,175.0352609,168.3988764
